cell_id,cell_lat,cell_lon,city,entity_count_real,entity_count_total,active_rate,capital_median,capital_mean,capital_max,sector_diversity,formal_ratio,sarl_count,sa_count,attractivity_score,attractivity_class,n_sectors_present,dominant_sector,density_log,cluster_label
2486_-427,33.605272,-7.52521,Casablanca,27,27,0.9375,100000.0,213035.7142857143,1500000.0,0.8081130810953053,0.20833333333333331,3,1,55.167500000000004,Moyen,4,Construction,3.332204510175204,1
2486_-428,33.601564,-7.545368,Casablanca,313,313,0.9345905799853169,100000.0,33042821.22377863,10780000256.0,0.8005477028339505,0.16409906497773344,46,20,66.22222222222223,Fort,9,Commerce,5.749392985908253,2
2486_-429,33.6009511,-7.55992065,Casablanca,38,38,0.8703703703703703,100000.0,722761.5384615385,20000000.0,0.8815360576154168,0.28703703703703703,6,3,53.375,Moyen,6,Other,3.6635616461296463,1
2486_-430,33.60001,-7.58306,Casablanca,275,275,0.887131947000368,100000.0,127186967.20197126,79869911040.0,0.8260432519068868,0.22317277615625225,59,18,62.665,Fort,10,Commerce,5.62040086571715,2
2486_-431,33.59612,-7.5943479,Casablanca,267,267,0.9431343995888348,100000.0,494548.8568190703,30000000.0,0.8262616525944497,0.24205698318970628,48,27,64.92363636363636,Fort,11,Commerce,5.5909869805108565,2
2486_-432,33.596457,-7.615478,Casablanca,726,726,0.9039467778598212,100000.0,124532054.68671091,79869911040.0,0.8425764662518683,0.30892651002939286,163,72,70.98461538461538,Fort,13,Commerce,6.588926477533519,2
2486_-433,33.59933,-7.6335143,Casablanca,654,654,0.8491132764684314,100000.0,2028613.0173367525,3500000000.0,0.8403152064302962,0.2266022000615838,138,40,68.37166666666667,Fort,12,Commerce,6.484635235635252,2
2486_-434,33.599089,-7.6448,Casablanca,227,227,0.8467695826186392,100000.0,258661.20326214668,15000000.0,0.8388715268982253,0.2674066527095325,56,7,59.302727272727275,Moyen,11,Commerce,5.429345628954441,2
2486_-435,33.5973576,-7.6703258,Casablanca,89,89,0.7142857142857143,100000.0,309509.89010989014,1000000.0,0.8771029185416158,0.03928571428571427,3,0,49.207142857142856,Faible,7,Tourism & Hospitality,4.499809670330265,0
2487_-404,33.613439,-7.121855,Casablanca,53,53,0.9666666666666666,100000.0,201630.4347826087,6300000.0,0.7497199755300089,0.3466666666666667,21,1,59.996,Faible,5,Construction,3.9889840465642745,1
2487_-424,33.6191215734,-7.48132719356,Casablanca,3,3,1.0,100000.0,100000.0,100000.0,0.9674887648835618,0.3333333333333333,1,0,56.9,Moyen,1,Commerce,1.3862943611198906,1
2487_-425,33.6177423,-7.4847494,Casablanca,863,863,0.8451529654654655,100000.0,191830.08927813682,2500000.0,0.7436082374548694,0.09616131031693943,25,5,63.8775,Fort,12,Healthcare,6.761572768804055,2
2487_-426,33.610869,-7.504093,Casablanca,222,222,0.929729268855386,100000.0,1628274.2327425524,42000000.0,0.8179815849924558,0.13006087518357426,29,7,64.14363636363636,Fort,11,Commerce,5.407171771460119,2
2487_-427,33.611775,-7.5287885,Casablanca,192,192,0.9231329628625644,100000.0,2028620.586343167,120000000.0,0.7760476289870275,0.34513644167344354,51,28,64.82875,Fort,8,Commerce,5.262690188904886,2
2487_-428,33.6163185,-7.542721,Casablanca,128,128,0.970870399441828,100000.0,849040.0822799982,44350500.0,0.8660659000134446,0.31349226306728756,26,12,67.19714285714285,Fort,7,Commerce,4.859812404361672,2
2487_-429,33.609111,-7.55885,Casablanca,26,26,1.0,100000.0,258645.8333333333,2000000.0,0.8023964535051948,0.32291666666666663,5,3,59.1325,Moyen,4,Commerce,3.295836866004329,1
2488_-404,33.6228983,-7.1267176,Benslimane,238,238,0.5,100000.0,219601.7908017908,2500000.0,0.7227421742728103,0.0,0,0,39.81142857142857,Faible,7,Healthcare,5.476463551931511,0
2488_-426,33.625507,-7.508556,Casablanca,11,11,0.8222222222222223,100000.0,366922.22222222225,3000000.0,0.9101223762275824,0.17777777777777778,1,1,46.46666666666667,Faible,3,Construction,2.4849066497880004,1
2489_-421,33.6458771396,-7.42855300742,Casablanca,3,3,1.0,100000.0,133333.33333333334,200000.0,0.8112781244591328,0.0,0,0,51.22,Faible,1,Construction,1.3862943611198906,1
2489_-422,33.640855,-7.43451,Casablanca,3,3,0.6666666666666666,100000.0,100000.0,100000.0,0.9528195311147832,0.3333333333333333,1,0,39.06,Faible,1,Commerce,1.3862943611198906,1
2489_-423,33.635666,-7.448419,Casablanca,55,55,0.940091706539075,100000.0,240367.42424242423,3000000.0,0.8601237997886619,0.1507509303561935,7,1,58.47833333333333,Moyen,6,Construction,4.02535169073515,1
2491_-420,33.6639918,-7.4091366,Mohammedia,3,3,0.5,100000.0,170000.0,500000.0,0.9409583900892994,0.0,0,0,27.12,Faible,1,Professional Services,1.3862943611198906,0
